init_goal,time
wp2_wp23,2.493746483996801544e+00
wp2_wp24,2.414707343996269628e+00
wp2_wp25,2.090490367001621053e+00
wp2_wp26,2.201901714994164649e+00
wp2_wp27,2.247629133002192248e+00
wp2_wp28,2.333240093001222704e+00
wp2_wp29,2.299328072003845591e+00
wp2_wp30,2.334195764997275546e+00
wp2_wp31,2.478850697996676899e+00
wp2_wp32,2.131587880001461599e+00
wp2_wp33,2.174727838995750062e+00
wp2_wp34,2.179100838002341334e+00
wp2_wp35,2.552200281003024429e+00
wp2_wp36,2.199877056002151221e+00
wp2_wp37,2.109971905003476422e+00
wp2_wp38,2.251133664998633321e+00
wp2_wp39,2.449661689999629743e+00
wp2_wp40,2.751862586002971511e+00
wp2_wp42,2.116506822996598203e+00
wp2_wp43,1.554128911004227120e+00
wp2_wp44,1.373935331997927278e+00
wp2_wp45,1.319592711995937862e+00
wp2_wp46,1.289415574996382929e+00
wp2_wp47,1.303695324000727851e+00
wp2_wp48,1.309502628006157465e+00
wp2_wp49,1.311983527004485950e+00
wp2_wp50,1.290848464996088296e+00
wp2_wp51,1.271511753999220673e+00
wp2_wp52,1.281321176000346895e+00
wp2_wp53,1.328068290997180156e+00
wp2_wp54,1.384416435997991357e+00
wp2_wp55,1.557876131999364588e+00
wp2_wp56,1.342605771998933051e+00
wp2_wp57,1.306276020004588645e+00
wp2_wp58,1.330765566999616567e+00
wp3_wp1,1.301169843005482107e+00
wp3_wp2,1.474602862996107433e+00
wp3_wp4,1.443988629005616531e+00
wp3_wp5,1.307401432000915520e+00
wp3_wp6,1.245266759004152846e+00
wp3_wp7,1.372586062003392726e+00
wp3_wp8,1.392038430996763054e+00
wp3_wp9,1.301450334998662584e+00
wp3_wp10,1.264442223997320980e+00
wp3_wp11,1.309945164997770917e+00
wp3_wp12,1.325283625003066845e+00
wp3_wp13,1.269232163998822216e+00
wp3_wp14,1.272025639998901170e+00
wp3_wp15,1.359048063000955153e+00
wp3_wp16,1.324267875999794342e+00
wp3_wp17,1.293543321000470314e+00
wp3_wp18,1.317457889999786858e+00
wp3_wp19,1.290941418003058061e+00
wp3_wp21,1.320636486998409964e+00
wp3_wp22,1.314008610999735538e+00
wp3_wp23,1.320218235996435396e+00
wp3_wp24,1.434084478001750540e+00
wp3_wp25,1.415457839000737295e+00
wp3_wp26,1.302408128998649772e+00
wp3_wp27,1.299449338002887089e+00
wp3_wp28,1.599231195003085304e+00
wp3_wp29,1.277594761995715089e+00
wp3_wp30,1.314566623994323891e+00
wp3_wp31,1.415113333998306189e+00
wp3_wp32,1.407497977997991256e+00
wp3_wp33,1.456254263997834641e+00
wp3_wp34,1.385863864998100325e+00
wp3_wp35,1.411258965003071353e+00
wp3_wp36,1.365699196998320986e+00
wp3_wp37,1.408937975997105241e+00
wp3_wp38,1.293922073004068807e+00
wp3_wp39,1.326614433004579041e+00
wp3_wp40,1.270589692998328246e+00
wp3_wp42,1.317325885000173002e+00
wp3_wp43,1.271210418999544345e+00
wp3_wp44,1.295271499999216758e+00
wp3_wp45,1.324446530001296196e+00
wp3_wp46,1.296676374993694481e+00
wp3_wp47,1.259221997999702580e+00
wp3_wp48,1.249449902999913320e+00
wp3_wp49,1.273947631001647096e+00
wp3_wp50,1.263689033003174700e+00
wp3_wp51,1.262420927996572573e+00
wp3_wp52,1.259808688002522103e+00
wp3_wp53,1.263018243997066747e+00
wp3_wp54,1.257347241000388749e+00
wp3_wp55,1.255643622003844939e+00
wp3_wp56,1.242392109001229983e+00
wp3_wp57,1.257551891001639888e+00
wp3_wp58,1.245291614999587182e+00
wp4_wp1,1.252508417004719377e+00
wp4_wp2,1.244848961003299337e+00
wp4_wp3,1.237785539997275919e+00
wp4_wp5,1.245226984996406827e+00
wp4_wp6,1.244585497006482910e+00
wp4_wp7,1.251834737995523028e+00
wp4_wp8,1.241817014000844210e+00
wp4_wp9,1.240790613999706693e+00
wp4_wp10,1.253234117000829428e+00
wp4_wp11,1.258997728000395000e+00
wp4_wp12,1.259396377005032264e+00
wp4_wp13,1.254019194995635189e+00
wp4_wp14,1.245144312000775244e+00
wp4_wp15,1.247538591000193264e+00
wp4_wp16,1.253782109000894707e+00
wp4_wp17,1.250490465004986618e+00
wp4_wp18,1.246365571001661010e+00
wp4_wp19,1.246542215005320031e+00
wp4_wp21,1.294066743001167197e+00
wp4_wp22,1.316236646001925692e+00
wp4_wp23,1.274547544002416544e+00
wp4_wp24,1.269142432000080589e+00
wp4_wp25,1.285349442005099263e+00
wp4_wp26,1.267787779004720505e+00
wp4_wp27,1.246195111001725309e+00
wp4_wp28,1.259042749996297061e+00
wp4_wp29,1.263191083999117836e+00
wp4_wp30,1.276767758994537871e+00
wp4_wp31,1.269981049001216888e+00
wp4_wp32,1.286959156001103111e+00
wp4_wp33,1.245906276002642699e+00
wp4_wp34,1.251633127001696266e+00
wp4_wp35,1.276017016003606841e+00
wp4_wp36,1.261004056003002916e+00
wp4_wp37,1.254341630003182217e+00
wp4_wp38,1.252833366001141258e+00
wp4_wp39,1.258498349998262711e+00
wp4_wp40,1.307434197995462455e+00
wp4_wp42,1.303836571998544969e+00
wp4_wp43,1.256098441997892223e+00
wp4_wp44,1.272682037997583393e+00
wp4_wp45,1.273878523003077134e+00
wp4_wp46,1.289671117003308609e+00
wp4_wp47,1.260648225994373206e+00
wp4_wp48,1.266276510003081057e+00
wp4_wp49,1.290941603998362552e+00
wp4_wp50,1.330992597002477851e+00
wp4_wp51,1.304948515004070941e+00
wp4_wp52,1.328874963000998832e+00
wp4_wp53,1.321180544000526424e+00
wp4_wp54,1.289502760002505966e+00
wp4_wp55,1.280269406997831538e+00
wp4_wp56,1.271728813000663649e+00
wp4_wp57,1.273663430001761299e+00
wp4_wp58,1.260827889003849123e+00
wp5_wp1,1.248158052003418561e+00
